Altium Designer Pick and Place Locations
C:\Users\su\Desktop\git\Cando\HW\Cando\Altium Designer files\Project Outputs for Cando\Pick Place for Cando_SET.txt

========================================================================================================================
File Design Information:

Date:       20/10/20
Time:       12:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment        Layer       Footprint      Center-X(mil) Center-Y(mil) Rotation Description                             
C1         4.7¦ÌF          TopLayer    CAP_0603       696.811       2782.795      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C2         4.7¦ÌF          TopLayer    CAP_0603       403.543       2782.795      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C3         22nF           TopLayer    CAP_0603       341.811       2782.795      90       "Cap 22nF 50V X5R 0603"                 
C4         100nF          TopLayer    CAP_0603       496.811       2154.606      90       "Cap 100nF 50V X5R 0603"                
C5         100nF          TopLayer    CAP_0603       496.811       2054.606      270      "Cap 100nF 50V X5R 0603"                
C6         100nF          TopLayer    CAP_0603       751.811       2489.606      270      "Cap 100nF 50V X5R 0603"                
C7         100nF          TopLayer    CAP_0603       751.811       2614.606      270      "Cap 100nF 50V X5R 0603"                
C8         100nF          TopLayer    CAP_0603       751.811       2355.748      90       "Cap 100nF 50V X5R 0603"                
C9         100nF          TopLayer    CAP_0603       271.811       2619.606      90       "Cap 100nF 50V X5R 0603"                
C10        100nF          TopLayer    CAP_0603       271.811       2355.748      90       "Cap 100nF 50V X5R 0603"                
D1         green          TopLayer    LED_GREEN_0603 751.811       3049.606      90       "LED green 0603"                        
D2         blue           TopLayer    LED_BLUE_0603  271.811       3049.606      90       "LED blue 0603"                         
F1         PTC_0805       TopLayer    RES_0805       631.811       2799.669      270      "PTC 0.5A 0805 C20978"                  
J1         MicroUSB-B     TopLayer    MICRO-USB-B    511.811       3014.095      270      "MicroUSB-B-SMT C10418"                 
J2         WJ124-3.81-3P  TopLayer    WJ124-3.81-3P  586.811       1729.606      270      "WJ124-3.81-3P C36780"                  
J3         Header_2.54_3P TopLayer    HEADER-2.54-3P 266.811       1739.606      360      "Header 2.54 3P"                        
J4         SWD            BottomLayer SWD-2.54-4P    271.811       2374.606      180      "SWD 2.54 4P"                           
R1         10K            TopLayer    RES_0603       751.811       2790.669      270      "Res SMD 10K 5% 1/10W 0603"             
R2         10K            TopLayer    RES_0603       271.811       2790.669      270      "Res SMD 10K 5% 1/10W 0603"             
R3         10K            TopLayer    RES_0603       316.811       2184.606      270      "Res SMD 10K 5% 1/10W 0603"             
R4         120R           TopLayer    RES_0603       316.811       2024.606      270      "Res SMD 120R 5% 1/10W 0603"            
U1         RT9193-33GB    TopLayer    SOT23-5        511.811       2794.606      180      "Chip RT9193-33GB LDO Regulator C15651" 
U2         STM32F072C8T6  TopLayer    STM-LQFP48_N   511.811       2489.606      180      "Chip STM32F072C8T6 C80488"             
U3         TJA1051T/3     TopLayer    SOIC-8         636.811       2104.606      270      "Chip TJA1051T/3 CAN C38695"            
J5         BOOT_2.54_2P   TopLayer    BOOT_2.54_2P   411.811       2100.669      360      BOOT_2.54_2P                            
C1         4.7¦ÌF          TopLayer    CAP_0603       1326.732      2782.795      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C2         4.7¦ÌF          TopLayer    CAP_0603       1033.465      2782.795      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C3         22nF           TopLayer    CAP_0603       971.732       2782.795      90       "Cap 22nF 50V X5R 0603"                 
C4         100nF          TopLayer    CAP_0603       1126.732      2154.606      90       "Cap 100nF 50V X5R 0603"                
C5         100nF          TopLayer    CAP_0603       1126.732      2054.606      270      "Cap 100nF 50V X5R 0603"                
C6         100nF          TopLayer    CAP_0603       1381.732      2489.606      270      "Cap 100nF 50V X5R 0603"                
