Comment,Description,Designator,Footprint,LibRef,Quantity

"4.7¦ÌF","Cap 4.7¦ÌF 6.3V X5R 0603","C1, C2","CAP_0603","CAP_4.7¦ÌF_0603","2"
"22nF","Cap 22nF 50V X5R 0603","C3","CAP_0603","CAP_22nF_0603","1"
"10nF","Cap 10nF 50V X5R 0603","C4, C7","CAP_0603","CAP_10nF_0603","2"
"100nF","Cap 100nF 50V X5R 0603","C5, C6, C9, C10, C12, C13, C14, C15, C16","CAP_0603","CAP_100nF_0603","9"
"10¦ÌF","Cap 10¦ÌF 25V X5R 0805","C8, C11","CAP_0805","CAP_10¦ÌF_0805","2"
"green","LED green 0603","D1","LED_GREEN_0603","LED_GREEN_0603","1"
"blue","LED blue 0603","D2","LED_BLUE_0603","LED_BLUE_0603","1"
"PTC_0805","PTC 0.5A 0805 C20978","F1","RES_0805","PTC_0805","1"
"MicroUSB-B","MicroUSB-B-SMT C10418","J1","Micro-USB-B","","1"
"WJ124-3.81-3P","WJ124-3.81-3P C36780","J2","WJ124-3.81-3P","WJ124-3.81-3P","1"
"Header_2.54_3P","Header 2.54 3P","J3","HEADER-2.54-3P","Header_2.54_3P","1"
"10K","Res SMD 10K 5% 1/10W 0603","R1, R2, R3","RES_0603","RES_10K_0603","3"
"10R","Res SMD 10R 5% 1/10W 0603","R4","RES_0603","RES_10R_0603","1"
"120R","Res SMD 120R 5% 1/10W 0603","R5","RES_0603","RES_120R_0603","1"
"RT9193-33GB","Chip RT9193-33GB LDO Regulator C15651","U1","SOT23-5","RT9193-33GB","1"
"ADM3053BRWZ","Chip ADM3053BRWZ","U2","SOIC-20","ADM3053BRWZ","1"
"STM32F072C8T6","Chip STM32F072C8T6 C80488","U3","STM-LQFP48_N","STM32F072C8T6","1"
"PSM712-LF-T7","TVS","U4","SOT-23(SOT-23-3)","PSM712-LF-T7","1"
