Comment,Description,Designator,Footprint,LibRef,Quantity,,
,,,,,,,
4.7¦ÌF,Capacitor,"C1, C2",0603C,,2,,110
22nF,Capacitor,C3,0603C,,1,,55
100nF,Capacitor,"C4, C6, C9, C11, C12, C13, C14, C15, C16",0603C,,9,,495
10nF,Capacitor,"C5, C7",0603C,,2,,110
10¦ÌF,Capacitor,"C8, C10",0805C,,2,,110
PWR,LED,D1,LED_0603_GREEN,LED,1,,55
ACT,LED,D2,LED_0603_BLUE,LED,1,,55
Fuse,Fuse,F1,0805R,Fuse,1,,55
MicroUSB-B,MicroUSB-B-SMT,J1,USB-MICRO,,1,,55
,"3.81_3_PIN, C36790, Äþ²¨¿µÄÎ¿ËË¹",J2,3.81_3_PIN,Junction_3P,1,,55
,2.54_3_PIN,J3,HEADER_3,Junction_3P,1,,55
10K,Resistor,"R1, R2, R3",0603R,,3,,165
10R,Resistor,R4,0603R,,1,,55
120R,Resistor,R5,0603R,,1,,55
RT9193-33GB,"Chip, RT9193-33GB, LDO Regulator",U1,SOT-23-5,RT9193-33GB,1,,55
PSM712-LF-T7,TVS,U2,SOT-23-3,PSM712-LF-T7,1,,55
ADM3053,"IC, Signal and power isolated CAN transceiver",U3,RW-20,ADM3053,1,,55
STM32F072C8T6,"ARM Cortex-M0 32-bit MCU, 64 KB Flash, 8 KB Internal RAM, 39 I/Os, 48-pin LQFP, -40 to 85 degC, Tray",U4,STM-LQFP48_N,STM32F072C8T6,1,,55
